,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
895,what is the purpose of the bromophenol blue dye in the samples,"['as a pH indicator', 'a pH indicator']",Bromophenol blue,33.33333333333333,a color marker,Bromophenol blue,33.33333333333333,"a pH indicator, a color marker",Bromophenol blue,100.0,a pH indicator,Bromothymol blue,100.0,a pH indicator,Bromothymol blue,66.66666666666667
896,who became a leader of the indian national congress,['Mahatma Gandhi'],Indian National Congress,100.0,Mahatma Gandhi,History of the Indian National Congress,50.0,Indira Gandhi,Indian National Congress,50.0,Indira Gandhi,Indian National Congress,50.0,Mohandas Gandhi,History of the Indian National Congress,50.0
897,when did the nba add the three point line,"['1979 -- 80', 'the 1979 -- 80 season', 'In the 1979 -- 80 season', '1979 -- 80 season']",Three-point field goal,30.326532985631673,1979-80 season,List of National Basketball Association top rookie scoring averages,13.53352832366127,1979,Four-point play,30.326532985631673,1979–80 season,Three-point field goal,13.53352832366127,1979,Four-point play,16.7930046619704
898,how many pennsylvania house of representatives are there,"['203', '203 members']",Pennsylvania House of Representatives,100.0,203,Pennsylvania House of Representatives,100.0,203,Pennsylvania House of Representatives,100.0,203,Pennsylvania House of Representatives,100.0,203,Pennsylvania House of Representatives,0.0
899,what does istj mean in a personality test,['Introverted Sensing ( Si )'],ISTJ,38.94003915357025,Introverted Sensing Thinking Judging,ISTJ,0.0,"introversion, sensing, thinking, judgment",ISTJ,0.0,"introversion, sensing, thinking, judgment",ISTJ,5.555555555555554,"By functions; Introverted Sensing (Si), Extroverted Thinking (Te), Introverted Feeling (Fi) and Extroverted Intuition (Ne)) is an abbreviation used in the publications of the Myers–Briggs Type Indicator (MBTI) to refer to one of sixteen personality types",ISTJ,38.94003915357025
900,when does elena turn into a vampire in the tv series,"[""In the television series 's fourth season"", 'fourth season', 'season four']",Elena Gilbert,50.0,Season four,Helena Peabody,100.0,fourth season,Elena Gilbert,100.0,fourth season,Elena Gilbert,100.0,fourth season,Elena Gilbert,50.0
901,where does the movie proof of life take place,"['the ( fictional ) South American country of Tecala', 'The Republic of Tecala']",Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,0.0
902,mount and blade with fire and sword time period,['1648 - 51'],Mount & Blade: With Fire & Sword,0.0,Song Dynasty,Fire lance,0.0,1950s,Sword,0.0,1950s,Sword,0.0,colonial period,Mardani khel,0.0
903,which foreign currency option is the​ right but not the​ obligation to buy foreign​ currency,"['a foreign exchange option ( commonly shortened to just FX option or currency option )', 'foreign exchange option']",Foreign exchange option,33.33333333333333,Interest rate option,Interest rate option,66.66666666666666,foreign exchange derivative,Foreign exchange derivative,100.0,foreign exchange option,Foreign exchange option,100.0,foreign exchange option,Foreign exchange option,66.66666666666667
904,who gave the famous objective co relative theory,"['poet and literary critic T.S. Eliot', 'T.S. Eliot']",Objective correlative,100.0,T.S. Eliot,Objective correlative,100.0,T.S. Eliot,Objective correlative,0.0,Donald Hebb,Constant conjunction,33.33333333333333,Hewstone and Jaspars,Covariation model,100.0
905,when did university stop being free in australia,['1989'],Tertiary education fees in Australia,0.0,30 June 1998,AUSTUDY,0.0,30 June 1998,AUSTUDY Scheme,0.0,30 June 1998,AUSTUDY Scheme,0.0,30 June 1998,AUSTUDY Scheme,0.0
906,what was the religion in the virginia colony,"['The Church of England', 'Anglican', 'Anglican church']",Religion in early Virginia,100.0,Church of England,George Washington and religion,100.0,Anglican Church,Colony of Virginia,100.0,Anglican Church,Colony of Virginia,100.0,Anglican Church,History of Virginia,0.0
907,where do the secretory cells of endocrine glands secrete their products,"['epithelial surface', 'bloodstream', 'directly into the bloodstream']",Exocrine gland,100.0,directly into the bloodstream,Exocrine gland,100.0,directly into the bloodstream,Exocrine gland,100.0,directly into the bloodstream,Exocrine gland,100.0,directly into the bloodstream,Exocrine gland,0.0
908,what is the general structure of an url,['a protocol'],URL,33.33333333333333,a base URL,OpenURL,33.33333333333333,a short string,Uniform resource identifier,9.09090909090909,Every HTTP URL conforms to the syntax of a generic URI,Uniform Resource Locator,25.0,a string of characters,Uniform Resource Name,24.24242424242424
909,who sang you'll be a woman soon in pulp fiction,"['Urge Overkill', 'rock band Urge Overkill']","Girl, You'll Be a Woman Soon",100.0,Urge Overkill,Pulp Fiction (soundtrack),100.0,Urge Overkill,Pulp Fiction (soundtrack),100.0,Urge Overkill,Pulp Fiction (soundtrack),100.0,Urge Overkill,Music from the Motion Picture Pulp Fiction,0.0
910,how many seasons are there for lost girl,"['five', '5']",List of Lost Girl episodes,0.0,three,Lost (TV series),0.0,13,Lost Girl,100.0,five,Lost Girl,100.0,five,List of Lost Girl episodes,100.0
911,the octet rule states that in chemical compounds atoms tend to have the electron configuration of a,['noble gas'],Octet rule,100.0,noble gas,18-Electron rule,100.0,noble gas,18-Electron rule,66.66666666666666,a noble gas,Octet rule,66.66666666666666,a noble gas,Octet rule,33.33333333333334
912,who plays poppy in the beat goes on,['Amanda Leighton'],Trolls: The Beat Goes On!,0.0,Jamie Kennedy,Poppy Fields,0.0,Rachel Bright,Rachel Bright,0.0,Rachel Bright,Poppy Meadow,0.0,Rachel Bright,Poppy Meadow,0.0
913,who missed the plane the day the music died,['Waylon Jennings'],The Day the Music Died,0.0,Roger Peterson,The Day the Music Died,0.0,Red River Dave McEnery,Amelia Earhart's Last Flight,0.0,Randy Hughes,1963 Camden PA-24 crash,0.0,Red River Dave McEnery,Amelia Earhart's Last Flight,0.0
914,who wrote the text for jeanie with the light brown hair,['Stephen Foster'],Jeanie with the Light Brown Hair,100.0,Stephen Foster,Jeanie with the Light Brown Hair (anime),100.0,Stephen Foster,Jeanie with the Light Brown Hair,100.0,Stephen Foster,Jeanie with the Light Brown Hair,100.0,Stephen Foster,Jeanie with the Light Brown Hair,0.0
915,when did men's curling start in the olympics,"['1998', '1924', '1998 Nagano Games']",Curling at the Winter Olympics,100.0,1924,Bobsleigh,100.0,1924,Curling at the 1924 Winter Olympics,100.0,1924,Bobsleigh at the Winter Olympics,100.0,1924,Bobsleigh at the Winter Olympics,0.0
916,who starred in the film far from the madding crowd,['Carey Mulligan'],Far from the Madding Crowd (2015 film),0.0,Sergeant Troy,Jonathan Firth,9.09090909090909,"Carey Mulligan, Matthias Schoenaerts, Michael Sheen, Tom Sturridge, and Juno Temple",Far from the Madding Crowd (2015 film),100.0,Carey Mulligan,Far from the Madding Crowd (2015 film),100.0,Carey Mulligan,Far from the Madding Crowd (2015 film),100.0
917,who plays the robot maid in richie rich,['Brooke Wexler'],Richie Rich (2015 TV series),0.0,Jean Vander Pyl,Rosie the Robot Maid,0.0,Josh Warren,Josh Warren,0.0,Irona,Richie Rich (film),0.0,Irona,Richie Rich (film),0.0
918,who are the artists in the traveling wilburys,['Bob Dylan'],Traveling Wilburys,0.0,"Thurston Moore, Courtney Love, and Tiny Tim",Dame Darcy,9.09090909090909,"Bob Dylan, George Harrison, Jeff Lynne, Roy Orbison, and Tom Petty",Traveling Wilburys,0.0,"Berkeley Art Museum, Chase Manhattan Bank, Baron Guy de Rothschild, Fogg Museum, Harvard; Metropolitan Museum of Art, Museum of Modern Art, Rhode Island School of Design Art Museum, Time-Life, Inc. Whitney Museum of American Art",Joe Brainard,20.0,"Harrison, Lynne, Petty and Dylan",Traveling Wilburys,20.0
919,where does no game no life anime end,"['the sixth volume', 'the Elkia Federation']",No Game No Life,0.0,Ruang rak,Last Life in the Universe,11.111111111111109,"Once the game is over, everything will be undone",No Game No Life,0.0,"December 25, 2015",No Game No Life,11.111111111111109,"Joshua did not actually die, the Game was nullified",The World Ends with You,11.111111111111109
920,when did the east india company take control of india,"['1799', '1757', '1612', 'in 1757']",East India Company,100.0,1612,Company rule in India,0.0,1856,Company rule in India,0.0,1858,East India Company,0.0,1772,Company rule in India,100.0
921,who is the leading african producer of wool,"['Sudan', 'South Africa']",Wool,0.0,Egypt,Economy of Africa,66.66666666666666,Woolworths South Africa,Woolworths (South Africa),0.0,Madagascar,Mineral industry of Africa,66.66666666666666,Woolworths South Africa,Woolworths (South Africa),66.66666666666666
922,when was the wheel introduced to north america,['about 1500 BC'],Wheel,0.0,1963,Steering wheel,0.0,1848,Ferris wheel,0.0,1848,Ferris wheel,0.0,1848,Ferris wheel,0.0
923,who played bat masterson in the tv series,['Gene Barry'],Bat Masterson (TV series),100.0,Gene Barry,Bat Masterson (TV series),100.0,Gene Barry,Bat Masterson (TV series),100.0,Gene Barry,Mason Alan Dinehart,100.0,Gene Barry,Mason Alan Dinehart,0.0
924,where does a roadrunner live in the desert,"['arid lowland', 'arid lowland or mountainous shrubland , widely dispersed in dry open country with scattered brush', 'in the southwestern United States and Mexico']",Roadrunner,70.5401437408845,southwestern United States and northern Mexico,Greater Roadrunner,70.5401437408845,southwestern United States and northern Mexico,Greater roadrunner,67.03200460356393,southwestern United States and Mexico,Roadrunner,67.03200460356393,southwestern United States and Mexico,Roadrunner,3.508139137320569
925,when did first fast and furious come out,['2001'],The Fast and the Furious,100.0,2001,Paul Walker,100.0,2001,The Fast and the Furious,100.0,2001,The Fast and the Furious,100.0,2001,The Fast and the Furious,0.0
926,a good that can be used in place of another good,"['substitute good', 'A substitute good']",Substitute good,50.0,greater good,Greater Good,50.0,Common good,Common Good (disambiguation),50.0,Common good,Common Good (disambiguation),100.0,substitute good,Substitute good,50.0
927,what was the biggest tank in world war 2,"['Panzerkampfwagen VIII Maus', ""Panzerkampfwagen VIII Maus ( `` Mouse '' )""]",Panzer VIII Maus,0.0,T-34,Tanks in World War II,0.0,Tiger I,Tiger I,0.0,one hundred-ton monsters,German tanks in World War II,25.0,Panzerkampfwagen VI Tiger II,List of German combat vehicles of World War II,25.0
928,five tools of security management to overcome computer crime,['Pre-evaluation'],Computer security,0.0,"information classification, risk assessment and risk analysis",Security management,0.0,"dynamic DNS, fast flux and bullet proof servers",Computer security,0.0,"dynamic DNS, fast flux and bullet proof servers",Computer security,100.0,Pre-evaluation,Computer security,100.0
929,what river flows through charleston west virginia’s capital,"['Elk', 'the confluence of the Elk and Kanawha Rivers', 'Kanawha River', 'the Elk and Kanawha Rivers']","Charleston, West Virginia",50.0,James River,James River (Virginia),50.0,James River,James River,50.0,Ashley River,Cooper River (South Carolina),100.0,Kanawha River,"Charleston, West Virginia",50.0
930,who is recognized as the founder of islam,"['Muhammad', 'the Islamic prophet Muhammad']",History of Islam,100.0,Muhammad,Muhammad (disambiguation),100.0,Muhammad,Spread of Islam,100.0,Muhammad,Muhammad (disambiguation),100.0,Muhammad,Muhammad,0.0
931,when does the 14th season of grey's anatomy come out,"['September 28 , 2017']",Grey's Anatomy (season 14),23.88437701912631,"September 27, 2007",Grey's Anatomy,23.88437701912631,"September 25, 2014",Grey's Anatomy (season 11),23.88437701912631,"September 25, 2014",Grey's Anatomy (season 11),47.76875403825262,"September 28, 2017",Grey's Anatomy (season 14),23.88437701912631
932,who played emma in h2o just add water,['Claire Rhiannon Holt'],Claire Holt,0.0,Burgess Abenerthy,Burgess Abernethy,0.0,Ahna O'Reilly,Ahna O'Reilly,0.0,Ahna O'Reilly,Ahna O'Reilly,0.0,Ahna O'Reilly,Ahna O'Reilly,0.0
933,which state is located in the centre of india,['Chhattisgarh'],Central India,0.0,Madhya Pradesh,Geography of Madhya Pradesh,100.0,Chhattisgarh,Chhattisgarh,100.0,Chhattisgarh,Chhattisgarh,100.0,Chhattisgarh,Chhattisgarh,100.0
934,what level is a city and guilds qualification,['entry level to level 7'],City and Guilds of London Institute,33.33333333333333,entry level to the equivalent of a postgraduate degree,City and Guilds of London Institute,19.470019576785123,Entry-level to Level 3,City and Guilds of London Institute,19.470019576785123,Entry-level to Level 3,City and Guilds of London Institute,100.0,entry level to level 7,City and Guilds of London Institute,80.52998042321488
935,where did they film the game of thrones,"['in Belfast and elsewhere in the United Kingdom , Canada , Croatia , Iceland , Malta , Morocco , Spain , and the United States', 'Canada']",Game of Thrones,0.0,West Wycombe Park,List of films shot at West Wycombe Park,100.0,Iceland,Game of Thrones,100.0,Iceland,Game of Thrones,20.0,Stage 2 of the studios,Ealing Studios,100.0
936,when did bihar bifurcate from bengal and some parts of chota nagpur merged into bengal,['1912'],Chota Nagpur Division,100.0,1912,Bihar and Orissa,100.0,1912,Chota Nagpur Division,100.0,1912,Chota Nagpur Division,33.33333333333333,22nd March 1912,Bihar and Orissa Province,66.66666666666667
937,how much is a 72 oz steak at the big texan,['$72'],The Big Texan Steak Ranch,0.0,free,The Big Texan Steak Ranch,2.8571428571428577,"free to anyone who, in one hour or less, can eat the entire meal, consisting of the steak itself, plus bread roll with butter, baked potato, shrimp cocktail, and salad; otherwise, the meal costs $72",The Big Texan Steak Ranch,2.4390243902439024,"free to anyone who, in one hour or less, can eat the entire meal, consisting of the steak itself, a bread roll with butter, a baked potato, a shrimp cocktail(now three fried shrimp), and a salad; otherwise, the meal costs $72",The Big Texan Steak Ranch,100.0,$72,The Big Texan Steak Ranch,100.0
938,when does april fools day end at noon,['April 1st'],April Fools' Day,50.0,19 April,April 19,50.0,April 1,List of April Fools' Day jokes,50.0,April 1,List of April Fools' Day jokes,50.0,April 1,List of April Fools' Day jokes,0.0
939,when is the new jurassic world game coming out,"['June 12 , 2018']",Jurassic World Evolution,4.978706836786395,June,Grandia Online,23.88437701912631,"June 12, 2015",Jurassic World,47.76875403825262,12 June 2015,Lego Jurassic World,23.88437701912631,"June 12, 2015",Jurassic Park,42.79004720146622
940,who played amy grant i i can only imagine,['Nicole DuPort'],I Can Only Imagine (film),0.0,Paige Ellen Peterson,Paige Peterson,0.0,Alana De Roma,Amy (1997 film),0.0,Jessica Sanchez,Jennifer Holliday,0.0,Jessica Sanchez,Jennifer Holliday,0.0
941,what features of muscle contraction can be determined from an emg (electromyogram),['electric potential generated'],Electromyography,11.111111111111109,"electrical potential generated by muscle cells when these cells contract, and also when the cells are at rest",Electromyography,0.0,activation and force output,Electromyography,0.0,molecular and cellular basis,Exercise physiology,0.0,molecular and cellular basis,Exercise physiology,11.111111111111109
942,who plays the grandmother in game of thrones,['Rigg'],Diana Rigg,0.0,Sada Thompson,Sada Thompson,0.0,Helena Gloag,Helena Gloag,0.0,Helena Gloag,Helena Gloag,100.0,Rigg,Diana Rigg,100.0
943,where was the 2015 rugby union world cup held,['England'],2015 Rugby World Cup,100.0,England,2019 Cricket World Cup,100.0,England,2015 Rugby World Cup,100.0,England,2015 Rugby World Cup,100.0,England,2015 Rugby World Cup,0.0
944,who sings i want to be a rockstar,"['Canadian rock band Nickelback', 'Nickelback']",Rockstar (Nickelback song),0.0,Billy Gibbons,Rockstar (Nickelback song),0.0,Billy Gibbons,Rockstar (Nickelback song),0.0,Hailee Steinfeld,Rock Bottom (Hailee Steinfeld song),0.0,Billy Gibbons,Rockstar (Nickelback song),0.0
945,who plays dusty in the movie pure country,['George Strait'],Pure Country,100.0,George Strait,Pure Country,100.0,George Strait,Pure Country (soundtrack),100.0,George Strait,Pure Country,100.0,George Strait,Pure Country,0.0
946,how many episodes in 1st season of the crown,['10'],The Crown (TV series),0.0,ten,Crown Prosecutor (UK TV series),100.0,10,Game of Thrones (season 1),100.0,10,The Crown (TV series),100.0,10,The Crown (TV series),100.0
947,when was the last time the carolina hurricanes made the playoffs,['2008 -- 09'],List of Carolina Hurricanes seasons,0.0,1992,Carolina Hurricanes,0.0,2013,List of Miami Hurricanes men's basketball head coaches,0.0,2013,List of Miami Hurricanes men's basketball head coaches,0.0,2013,List of Miami Hurricanes men's basketball head coaches,0.0
948,who has the oldest team in the nba,"['New York Knickerbockers', 'Sacramento Kings']",National Basketball Association,100.0,New York Knickerbockers,American Basketball League (1925-1955),66.66666666666666,New York Nets,American Basketball Association,66.66666666666666,New York Nets,American Basketball Association,100.0,Sacramento Kings,List of oldest and youngest National Basketball Association players,33.33333333333334
949,when was the last time america hosted the summer olympics,"['1996', 'Salt Lake City']",List of Olympic Games host cities,100.0,1996,Summer Olympic Games,100.0,1996,Summer Olympic Games,100.0,1996,Summer Olympic Games,0.0,1995,U.S. Olympic Festival,100.0
950,who sang the superbowl national anthem in 2017,['Luke Bryan'],List of national anthem performers at the Super Bowl,0.0,Mariah Carey,Super Bowl XXXVI,0.0,Whitney Houston,The Star Spangled Banner (Whitney Houston song),0.0,Whitney Houston,The Star-Spangled Banner (Whitney Houston recording),100.0,Luke Bryan,Super Bowl LI,100.0
951,who plays timon in lion king on broadway,['Max Casella'],The Lion King (musical),0.0,Danny Rutigliano,Danny Rutigliano,0.0,Tsidii Le Loka,The Lion King (musical),0.0,Simon Gregor,The Lion King (musical),0.0,Simon Gregor,The Lion King (musical),0.0
952,when will the next episode of flash be aired,"['May 15 , 2018']",List of The Flash episodes,18.393972058572118,May 20,The Simpsons (season 18),23.88437701912631,"May 27, 2010",List of FlashForward episodes,0.0,"January 9, 2009",Flashpoint (TV series),23.88437701912631,"April 3, 2018",Legion (season 2),23.88437701912631
953,who has scored the most tries in rugby union,['Daisuke Ohata'],List of leading rugby union test try scorers,0.0,Marc Ellis,Rugby World Cup,0.0,Marc Ellis,List of Rugby Union World Cup hat-tricks,0.0,Doug Howlett,List of New Zealand national rugby union team player records,0.0,Doug Howlett,List of New Zealand national rugby union team player records,0.0
954,what color is the cue ball in pool,['white'],Billiard ball,100.0,white,Five-pins,100.0,white,Nine-ball,100.0,white,Nine-ball,100.0,white,Nine-ball,0.0
955,name three large lakes other than the great lakes in the united states,['Great Salt Lake'],List of largest lakes of the United States by area,30.326532985631673,Lake Eries,Lake Superior,30.326532985631673,Lake Superior,Lake Superior (disambiguation),30.326532985631673,Lake Superior,Lake Superior (disambiguation),30.326532985631673,Lake Superior,Lake Superior (disambiguation),0.0
956,when does grey's anatomy come back on in march,"['March 1 , 2018']",Grey's Anatomy (season 14),23.88437701912631,"March 27, 2005",A Hard Day's Night (Grey's Anatomy),23.88437701912631,"March 27, 2005",Grey's Anatomy,23.88437701912631,"March 3, 2016",Grey's Anatomy (season 12),23.88437701912631,"March 3, 2016",Grey's Anatomy (season 13),0.0
957,where was the capital of the habsburg empire located,"['Vienna', 'Vienna , except from 1583 to 1611 , when it was moved to Prague']",Habsburg Monarchy,100.0,Vienna,House of Habsburg,100.0,Vienna,History of Vienna,100.0,Vienna,History of Vienna,100.0,Vienna,House of Habsburg,0.0
958,wolf of wall street number of f words,['569'],"List of films that most frequently use the word ""fuck""",0.0,three,FBG,0.0,FBD,FBD,0.0,FBD,FBD,0.0,55 Liberty Street,David Lamar,0.0
959,where was the flag placed on the moon,['Sea of Tranquility'],Lunar Flag Assembly,0.0,the descent stage,Apollo 11,2.3255813953488373,"Stainless steel commemorative plaques measuring 9"" x 7 5/8"" were attached to the ladders on the descent stages of the United States Apollo Lunar Modules flown on lunar landing missions Apollo 11 through Apollo 17, to be left permanently on the lunar surface",Lunar plaque,12.500000000000004,behind the left side of the LM ladder,Lunar Flag Assembly,11.111111111111109,immediately behind the left side of the LM ladder,Lunar Flag Assembly,12.500000000000004
960,how many students attend university of texas at austin,"['51,331', '51,331 ( Fall 2016 )', 'over 50,000', 'over 50,000 undergraduate and graduate students']",University of Texas at Austin,50.0,"over 190,000",University of Texas System,100.0,"over 50,000",List of University of Texas at Austin faculty,100.0,"over 50,000",University of Texas at Austin,100.0,"over 50,000",List of University of Texas at Austin faculty,50.0
961,which country has won maximum number of gold medal in asian game 2014,['China'],2014 Asian Games medal table,0.0,Korean,2006 Asian Games,100.0,China,2010 Asian Para Games medal table,100.0,China,2010 Asian Games medal table,100.0,China,2010 Asian Games medal table,100.0
962,when does the new gotham season come out,"['September 21 , 2017']",Gotham (season 4),0.0,Saturday,2028,23.88437701912631,"September 22, 2014",Gotham (TV series),23.88437701912631,"September 8, 2015",Gotham (TV series),47.76875403825262,"September 21, 2017",Gotham (TV series),47.76875403825262
963,what year did the price is right first air,"['1956', 'November 26 , 1956']",The Price Is Right (1956 U.S. game show),0.0,1994,The Price Is Right,100.0,1956,The Price Is Right (1956 U.S. game show),0.0,1972,Bob Barker,0.0,1957,The Price Is Right (1956 U.S. game show),100.0
964,when did the not in this lifetime tour start,"['April 8 , 2016', 'April 1 , 2016']",Not in This Lifetime... Tour,0.0,1983 and 1985,Never Ending Tour,23.88437701912631,"April 12, 2010",The Legally Prohibited from Being Funny on Television Tour,47.76875403825262,"April 8, 2016",Not in This Lifetime... Tour,47.76875403825262,"April 1, 2016",Not in This Lifetime... Tour,47.76875403825262
965,who sings two pints of lager and a packet of crisps,"['Christian Henson', 'Splodgenessabounds']",Two Pints of Lager and a Packet of Crisps,0.0,Kathryn Drysdale,Kathryn Drysdale,100.0,Splodgenessabounds,Two Pints of Lager and a Packet of Crisps,100.0,Splodgenessabounds,Two Pints of Lager and a Packet of Crisps,100.0,Splodgenessabounds,Two Pints of Lager and a Packet of Crisps,100.0
966,who played junior on in the heat of the night,['Christian LeBlanc'],In the Heat of the Night (TV series),0.0,Ron Sloan,Ron Sloan,0.0,Ron Sloan,Ron Sloan,0.0,Arnold Schwarzenegger and Danny DeVito,Stefan Gierasch,0.0,Rawle D. Lewis,Rawle D. Lewis,0.0
967,who plays lefou in beauty and the beast 1991,"['Venezuelan voice actor Jesse Corti', 'Jesse Corti']",List of Disney's Beauty and the Beast characters,0.0,Angela Lansbury,Beauty and the Beast (Disney song),100.0,Jesse Corti,Jesse Corti,100.0,Jesse Corti,Jesse Corti,0.0,Paige O'Hara,Beauty and the Beast (1991 film),100.0
968,when was you'll never walk alone first released,['1945'],You'll Never Walk Alone,100.0,1945,You'll Never Walk Alone (song),100.0,1945,You'll Never Walk Alone,100.0,1945,You'll Never Walk Alone,100.0,1945,You'll Never Walk Alone,0.0
969,who controlled the house and the senate in 2012,['Republican'],112th United States Congress,0.0,President Bush,109th United States Congress,100.0,Republican,109th United States Congress,100.0,Republican,109th United States Congress,0.0,Democrats,112th United States Congress,100.0
970,nba record for most double doubles in a season,"['Tim Duncan', 'Tim Duncan leads the National Basketball Association ( NBA ) in the points - rebounds combination with 840']",Double (basketball),20.0,55 Doubles in One Season,List of Major League Baseball doubles records,12.500000000000004,Four Doubles by an Individual in One Game,List of Major League Baseball doubles records,44.44444444444444,Oscar Robertson leads the all-time NBA list with 181,Double (basketball),44.44444444444444,Oscar Robertson leads the all-time NBA list with 181,Double (basketball),31.94444444444444
971,when is dragon ball super episode 131 releasing,"['March 25 , 2018', 'TBA']",List of Dragon Ball Super episodes,0.0,"February 17, 1989",Choujuu Sentai Liveman,0.0,"February 26, 2012",Tokumei Sentai Go-Busters,23.88437701912631,"March 2, 2016",List of Dragon Ball Super episodes,23.88437701912631,"January 8, 2018",List of Gintama. Shirogane no Tamashii-hen episodes,23.88437701912631
972,three movies made from agatha christie's novels,['The Passing of Mr. Quinn'],Adaptations of Agatha Christie,17.113903967753068,The Alphabet Murders,The Alphabet Murders,20.0,"The World Is Not Enough""",List of James Bond films,17.113903967753068,Portrayals of Christie,Agatha Christie,20.0,"The World Is Not Enough""",List of James Bond films,2.8860960322469325
973,premier league players to score 5 goals in one game,['Andy Cole'],List of players with the most goals in an association football game,0.0,Cristiano Ronaldo,FA Premier League 2006-07,0.0,four,List of Premier League hat-tricks,7.6923076923076925,"five players, Andy Cole, Alan Shearer, Jermain Defoe, Dimitar Berbatov and Sergio Agüero",List of Premier League hat-tricks,7.6923076923076925,"five players, Andy Cole, Alan Shearer, Jermain Defoe, Dimitar Berbatov and Sergio Agüero",List of Premier League hat-tricks,7.6923076923076925
974,how many walker texas ranger seasons are there,"['8', 'Eight']","Walker, Texas Ranger",33.33333333333333,8 and 9,"Walker, Texas Ranger",100.0,Eight,"Walker, Texas Ranger",100.0,Eight,"Walker, Texas Ranger",100.0,Eight,"Walker, Texas Ranger",66.66666666666667
975,when did i ain't mad at cha come out,"['September 15 , 1996']",I Ain't Mad at Cha,23.88437701912631,"September 24, 1990",Ain't No Shame in My Game,23.88437701912631,"September 19, 2000",Hey Kandi...,23.88437701912631,25 September 2001,Nivea (album),23.88437701912631,25 September 2001,Nivea (album),0.0
976,who was the last nba player to get drafted out of high school,['Thon Maker'],NBA high school draftees,0.0,Magic Johnson,Chris Webber,0.0,Dawkins and Willoughby,NBA high school draftees,0.0,Dawkins and Willoughby,NBA high school draftees,0.0,Bernard Ronald James,Bernard James,0.0
977,when was the last time a hurricane hit the uk,"['autumn of 2017', 'the autumn of 2017', '2017']",List of natural disasters in the British Isles,0.0,"November 30, 2004",2004 Atlantic hurricane season,0.0,1960,Great Storm of 1987,0.0,2005,2004 Atlantic hurricane season,0.0,December 3,2004 Atlantic hurricane season,0.0
978,how many kilometers of great wall of china,"['the entire wall with all of its branches measures out to be 21,196 km', '8,850 km', '21,196 km']",Great Wall of China,7.1428571428571415,as many as one million people died building the Wall under the Qin Dynasty,Great Wall of China,33.33333333333333,hundreds of kilometres,History of the Great Wall of China,33.33333333333333,hundreds of kilometres,History of the Great Wall of China,33.33333333333333,hundreds of kilometres,History of the Great Wall of China,26.190476190476186
979,when did the log flume closed at alton towers,"['2015', '10 October 2015']",The Flume (Alton Towers),0.0,2005,Toyland Tours,33.33333333333333,"October 31, 2011",Log Jammer (Six Flags Magic Mountain),100.0,2015,Ripsaw (Alton Towers),100.0,2015,The Flume (Alton Towers),100.0
980,who has won the canada open women's doubles,['Mayu Matsumoto'],Canadian Open (badminton),0.0,Pam Teeguarden,Regina Maršíková,0.0,Kristina Mladenovic,2014 Australian Open – Mixed Doubles,0.0,Kristina Mladenovic,2014 Australian Open – Mixed Doubles,0.0,Kristina Mladenovic,2014 Australian Open – Mixed Doubles,0.0
981,when does the day of the dead end,['November 2'],Day of the Dead,100.0,November 2,Day of the Dead,100.0,November 2,Day of the Dead,100.0,November 2,Day of the Dead (disambiguation),100.0,November 2,Day of the Dead,0.0
982,who is the oldest wrestler that is still wrestling,['Dory Funk Jr .'],List of oldest surviving professional wrestlers,0.0,Mary Lillian Ellison,The Fabulous Moolah,0.0,Dave Kidney,List of oldest surviving professional wrestlers,0.0,Jack Carkeek,History of professional wrestling,0.0,Vince McMahon,WWE Championship,0.0
983,who was the original host of what's my line,['John Daly'],What's My Line?,66.66666666666666,John Charles Daly,Dorothy Kilgallen,66.66666666666666,John Charles Daly,Who Said That?,100.0,John Daly,Hal Block,100.0,John Daly,Hal Block,33.33333333333334
984,what year did the golden state warriors win their first nba championship,['1947'],Golden State Warriors,0.0,1946-47,Golden State Warriors,0.0,1946–1947,History of the Golden State Warriors,100.0,1947,Golden State Warriors,0.0,2015,1975 NBA Finals,100.0
985,who wrote the music for christmas story live,"['Pasek & Paul', 'Pasek and Paul', 'Benj Pasek']",A Christmas Story: The Musical,50.0,Paul Gilger,Showtune (musical),100.0,Pasek and Paul,Pasek and Paul,100.0,Pasek and Paul,Pasek and Paul,50.0,Paul Howard,The Twelve Days of Christmas (album),50.0
986,when were the beatles inducted into the rock and roll hall of fame,['1988'],List of Rock and Roll Hall of Fame inductees,100.0,1988,The Beach Boys,100.0,1988,The Beatles,100.0,1988,The Beatles,100.0,1988,John Lennon,0.0
987,what is the official slogan for the 2018 winter olympics,['Passion . Connected .'],2018 Winter Olympics,0.0,XXIII Olympic Winter Games,2018 Winter Olympics,0.0,Celebrate Humanity,Celebrate Humanity,0.0,Celebrate Humanity,Celebrate Humanity,0.0,Dong Wook,2018 Winter Paralympics,0.0
