,Question,GT Answer,GT Topic,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,max - min
8056,Who is the third riches man in America?,['Larry Ellison'],University_of_Chicago,Warren Buffett,"{'Warren Buffett': ""The World's Billionaires""}",0.0,Amancio Ortega,The World's Billionaires,100.0,Warren Buffett,The World's Billionaires,0.0,Bill Gates,Billionaire,100.0
8057,What Goldman Sachs CEO is also an alumni of the University of Chicago?,['Jon Corzine'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8058,Who founded McKinsey & Company?,['James O. McKinsey'],University_of_Chicago,Charles Olcott and John McKesson,{'Charles Olcott and John McKesson': 'McKesson Corporation'},100.0,James O. McKinsey,McKinsey &amp; Company,100.0,James O. McKinsey,McKinsey &amp; Company,100.0,James O. McKinsey,McKinsey &amp; Company,0.0
8059,Who is the founder of modern community organizing?,['Saul Alinsky'],University_of_Chicago,Saul David Alinsky,{'Saul David Alinsky': 'Saul Alinsky'},100.0,Saul David Alinsky,Saul Alinsky,100.0,Saul David Alinsky,Saul Alinsky,0.0,Robert Owen,Worker cooperative,100.0
8060,What alumni was also Obama's campaign adviser?,['David Axelrod'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8061,What alumni was also an Attorney General and a federal judge?,['Robert Bork'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8062,What alumni is also the Governor of the Bank of Japan?,['Masaaki Shirakawa'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8063,What prohibition agent was also an alumni at the university?,['Eliot Ness'],University_of_Chicago,,None,0.0,Wayne Bidwell Wheeler,Wayne Wheeler,-1.0,None,None,-1.0,None,None,1.0
8064,"What alumni wrote ""The Closing of the American Mind""?",['Allan Bloom'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8065,What is the name of the American writer and satirist who is also a university alumni?,['Kurt Vonnegut'],University_of_Chicago,Morris Gilbert Bishop,{'Morris Gilbert Bishop': 'Morris Bishop'},100.0,Morris Gilbert Bishop,Morris Bishop,33.33333333333333,Lucius Morris Beebe,Lucius Beebe,0.0,Edgar Allan Poe,Gessner Harrison,100.0
8066,What alumni member also write the bestseller Before I Fall?,['Lauren Oliver'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8067,"What alumni wrote ""The Good War""?",['Studs Terkel'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8068,What is the name of the Pulitzer Prize novelist who was also a university alumni? ,['Philip Roth'],University_of_Chicago,,None,0.0,John Irving,H. Hamilton &quot;Hammy&quot; Bissell,0.0,Edward Reynolds Price,Reynolds Price,0.0,Edgar Allan Poe,Gessner Harrison,0.0
8069,What minimalist composer is also a university graduate?,['Philip Glass'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8070,What is the name of the Bungie Inc. founder who is also a university graduate?,['Alex Seropian'],University_of_Chicago,,None,-1.0,None,None,100.0,Alex Seropian,Bungie,-1.0,None,None,101.0
8071,What video game series did Alex Seropian make?,['Halo'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8072,What American actor is also a university graduate?,['Ed Asner'],University_of_Chicago,,None,-1.0,None,None,0.0,Michael Patrick Boatman,Michael Boatman,0.0,Jared Allman,Jared Allman,1.0
8073,What comedian is also a university graduate? ,['Mike Nichols'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8074,What astronomers is also a university alumni member?,['Carl Sagan'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8075,What NASA astronaut is also a university alumni member?,['John M. Grunsfeld'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8076,What popular environmentalist is also a university alumni member?,"['David Suzuki,', 'David Suzuki']",University_of_Chicago,Benazir Bhutto,{'Benazir Bhutto': 'Crimson Key Society'},100.0,Benazir Bhutto,Crimson Key Society,0.0,Tyler Oakley,List of Michigan State University people,100.0,Tyler Oakley,List of Michigan State University people,100.0
8077,Who developed the lithium-ion battery?,['John B. Goodenough'],University_of_Chicago,BYD Company,{'BYD Company': 'Lithium iron phosphate battery'},0.0,Adam Heller,Lithium battery,0.0,Michel Armand and his coworkers,Lithium iron phosphate battery,100.0,John B. Goodenough,Glass battery,100.0
8078,What geochemist developed the uranium-lead dating method into lead-lead dating?,['Clair Cameron Patterson'],University_of_Chicago,Clair Cameron Patterson,{'Clair Cameron Patterson': 'Uranium-lead dating'},100.0,Clair Cameron Patterson,Clair Cameron Patterson,100.0,Clair Cameron Patterson,Uranium–lead dating,100.0,Clair Cameron Patterson,Uranium–lead dating,0.0
8079,What Nobel Memorial Prize in Economic Sciences winner is also a university alumni member?,['Milton Friedman'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,0.0,Angus Deaton,"List of alumni of Fitzwilliam College, Cambridge",1.0
8080,What British Prime minister advisor is also a university alumni member?,['George Stigler'],University_of_Chicago,Harold Wilson,"{'Harold Wilson': 'List of alumni of Jesus College, Oxford'}",100.0,Harold Wilson,"List of alumni of Jesus College, Oxford",100.0,Harold Wilson,"List of alumni of Jesus College, Oxford",100.0,Harold Wilson,"List of alumni of Jesus College, Oxford",0.0
8081,Who was the first American to win the Nobel Memorial Prize in Economic Sciences?,['Paul Samuelson'],University_of_Chicago,Paul Anthony Samuelson,{'Paul Anthony Samuelson': 'Paul Samuelson'},100.0,Paul Anthony Samuelson,Paul Samuelson,100.0,Paul Anthony Samuelson,Paul Samuelson,100.0,Paul Anthony Samuelson,Paul Samuelson,0.0
8082,What university alumni member was known for his work on portfolio theory?,['Eugene Fama'],University_of_Chicago,Parke H. Davis,{'Parke H. Davis': 'Parke H. Davis'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8083,What anthropologists are also university alumni members?,"['David Graeber and Donald Johanson', 'David Graeber']",University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,0.0,scientists,List of George Washington University alumni,1.0
8084,What chess grandmaster is also a university alumni?,['Samuel Reshevsky'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8085,What conservative international relations scholar is also a university alumni?,['Samuel P. Huntington'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8086,Who calculated the speed of light?,['A. A. Michelson'],University_of_Chicago,Ole Christensen Rømer,{'Ole Christensen Rømer': 'Ole Rømer'},0.0,E. B. Rosa and the National Bureau of Standards,Albert A. Michelson,13.53352832366127,Rømer,Rømer's determination of the speed of light,0.0,Fizeau–Foucault,Hippolyte Fizeau,13.53352832366127
8087,Who discovered the Compton Effect?,"['Arthur H. Compton', 'Robert A. Millikan']",University_of_Chicago,Arthur Holly Compton,{'Arthur Holly Compton': 'Arthur Compton'},100.0,Arthur Holly Compton,Arthur Compton,60.653065971263345,Arthur Compton,Davisson–Germer experiment,100.0,Arthur Compton,Davisson–Germer experiment,39.346934028736655
8088,Who invented the first nuclear reactor?,['Enrico Fermi'],University_of_Chicago,Fermi,{'Fermi': 'Nuclear fission'},100.0,Enrico Fermi,Fermi (disambiguation),100.0,Enrico Fermi,Fermi (disambiguation),100.0,Enrico Fermi,Fermi (disambiguation),0.0
8089,Who is also known at the father of the hydrogen bomb?,['Edward Teller'],University_of_Chicago,Edward Teller,{'Edward Teller': 'Edward Teller'},100.0,Edward Teller,Edward Teller,100.0,Edward Teller,Edward Teller,100.0,Edward Teller,Edward Teller,0.0
8090,Who was the second female Nobel laureate ?,['Maria Goeppert-Mayer'],University_of_Chicago,Marie Curie,{'Marie Curie': 'Marie Curie'},0.0,Irene Joliot-Curie,Women in chemistry,100.0,Irene Joliot-Curie,Women in chemistry,100.0,Irene Joliot-Curie,Women in chemistry,100.0
8091,What Egyptologist was also apart of the university's faculty?,['James Henry Breasted'],University_of_Chicago,Auguste Mariette and Gaston Maspero,"{'Auguste Mariette and Gaston Maspero': ""Institut d'Égypte""}",-1.0,None,None,100.0,Auguste Mariette and Gaston Maspero,Institut d'Égypte,50.0,Auguste Mar,Institut d'Égypte,101.0
8092,What mathematician was also apart of the university's faculty?,['Alberto Calderón'],University_of_Chicago,Regiomontanus,{'Regiomontanus': 'Universitas Istropolitana'},0.0,Maria Gaetana Agnesi,Maria Gaetana Agnesi,100.0,Maria Gaetana Agnesi,Maria Gaetana Agnesi,0.0,John Nash,Princeton University Department of Mathematics,100.0
8093,What meteorologist was also apart of the university's faculty?,['Ted Fujita'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8094,Who developed the actinide concept?,"['Yuan T. Lee', 'Glenn T. Seaborg']",University_of_Chicago,Glenn T. Seaborg,{'Glenn T. Seaborg': 'Actinide concept'},100.0,Glenn T. Seaborg,Actinide concept,100.0,Glenn T. Seaborg,Actinide concept,0.0,Victor Goldschmidt,Actinide,100.0
8095,What cancer researchers were also apart of the university's faculty?,['Charles Brenton Huggins and Janet Rowley'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8096,Who is the governor of India's central bank?,['Raghuram Rajan'],University_of_Chicago,Raghuram Govinda Rajan,{'Raghuram Govinda Rajan': 'Raghuram Rajan'},0.0,S Venkitaramanan,S. Venkitaramanan,0.0,Lakshmi Kant Jha,Lakshmi Kant Jha,100.0,Lakshmi Kant Jha,Lakshmi Kant Jha,100.0
8097,Hank Paulson is the former Chairman and CEO of what banking firm?,['Goldman Sachs'],University_of_Chicago,Goldman Sachs,{'Goldman Sachs': 'Henry Paulson'},100.0,Goldman Sachs,Henry Paulson,100.0,Goldman Sachs,Henry Paulson,100.0,Goldman Sachs,Henry Paulson,0.0
8098,What Shakespeare scholar is currently on the university's faculty?,"['David Bevington', 'John Mearsheimer and Robert Pape']",University_of_Chicago,James S. Shapiro,{'James S. Shapiro': 'James S. Shapiro'},0.0,Emma Dench,McLean Professor of Ancient and Modern History,100.0,James S. Shapiro,James S. Shapiro,-1.0,None,None,101.0
8099,What well known political scientists are currently on the university's faculty?,['John Mearsheimer and Robert Pape'],University_of_Chicago,"Manny Azenberg, a Broadway producer whose productions have won 40 Tony Awards, Adrian Bejan, inventor of the constructal theory and namesake of the Bejan number, and David Brooks","{'Manny Azenberg, a Broadway producer whose productions have won 40 Tony Awards, Adrian Bejan, inventor of the constructal theory and namesake of the Bejan number, and David Brooks': 'List of Duke University people'}",0.0,Carl Joachim Friedrich,List of Heidelberg University people,100.0,Carl Joachim Friedrich,List of Heidelberg University people,100.0,Carl Joachim Friedrich,List of Heidelberg University people,100.0
8100,What paleontologists are currently on the university's faculty?,['Neil Shubin and Paul Sereno'],University_of_Chicago,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8101,What is the Chinese name for the Yuan dynasty?,"['Yuán Cháo', '元朝']",Yuan_dynasty,Mongol era,{'Mongol era': 'Yuan dynasty'},0.0,Genghisid,History of Yuan,100.0,Mongol,Yuan dynasty,100.0,Mongol,Yuan dynasty,100.0
8102,What is the Yuan dynasty's official name?,['the Great Yuan'],Yuan_dynasty,Mongol,{'Mongol': 'Yuan dynasty'},50.0,Da Yuan,History of the Yuan dynasty,100.0,Da Yuan,History of the Yuan dynasty,100.0,Great Yuan,Yuan dynasty,50.0
8103,Who started the Yuan dynasty?,['Kublai Khan'],Yuan_dynasty,Kublai Khan,{'Kublai Khan': 'History of the Yuan dynasty'},100.0,Kublai Khan,Yuan dynasty,100.0,Kublai Khan,Yuan dynasty,100.0,Kublai Khan,History of the Yuan dynasty,0.0
8104,Who led the Mongolian Borjigin clan?,['Kublai Khan'],Yuan_dynasty,Genghis Khan,{'Genghis Khan': 'Borjigin'},100.0,Genghis Khan,Borjigin,100.0,Genghis Khan,Borjigin,0.0,Yesukhei,Genghis Khan,100.0
8105,When did Khan formally declare the Yuan dynasty?,['1271'],Yuan_dynasty,1271,{'1271': 'Yuan dynasty'},100.0,1271,Yuan dynasty,100.0,1271,Yuan dynasty,100.0,1271,Yuan dynasty,0.0
8106,What non-Chinese empire did the Yuan dynasty succeed?,['Mongol Empire'],Yuan_dynasty,Tang dynasty,{'Tang dynasty': 'History of the Yuan dynasty'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8107,What dynasty came before the Yuan?,"['Song dynasty', 'Mongol Empire', 'the Song dynasty']",Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,50.0,Ming dynasty,Yuan dynasty,51.0
8108,What dynasty came after the Yuan?,"['Ming dynasty', 'the Ming dynasty']",Yuan_dynasty,Míng dynasty,{'Míng dynasty': 'Yuan dynasty'},36.787944117144235,Ming,History of the Yuan dynasty,100.0,Ming,History of the Yuan dynasty,0.0,Mongol,Yuan dynasty,100.0
8109,Who was Kublai Khan's grandfather?,['Genghis Khan'],Yuan_dynasty,Genghis Khan,{'Genghis Khan': 'Kublai Khan (disambiguation)'},100.0,Genghis Khan,Kublai Khan (disambiguation),100.0,Genghis Khan,Kublai (disambiguation),100.0,Genghis Khan,Kublai (disambiguation),0.0
8110,When did Khan establish the Great Yuan?,['1271'],Yuan_dynasty,1271,{'1271': 'Political divisions of the Mongol Empire'},100.0,1271,Genghis Khan,100.0,1271,Genghis Khan,100.0,1271,Yuan dynasty,0.0
8111,What writing inspired the name Great Yuan?,"['the Commentaries on the Classic of Changes (I Ching)', 'the Commentaries on the Classic of Changes']",Yuan_dynasty,poetry,{'poetry': 'Qu Yuan'},100.0,poetry,Qu Yuan,-1.0,None,None,100.0,poetry,Yuan Zhen,101.0
8112,What was the Yuan dynasty called in Mongolian?,"['Dai Ön Ulus, also rendered as Ikh Yuan Üls or Yekhe Yuan Ulus', 'Dai Ön Ulus']",Yuan_dynasty,Genghisid,{'Genghisid': 'History of Yuan'},0.0,Mongol era,Yuan dynasty,100.0,Genghisid,History of Yuan,100.0,Genghisid,History of Yuan,100.0
8113,What does Yeke Mongghul Ulus mean?,['Great Mongol State'],Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8114,What nominal title did Yuan emperors have?,['Great Khan'],Yuan_dynasty,Emperor of China,{'Emperor of China': 'Yuan dynasty'},100.0,Great Khan,Yuan dynasty,100.0,Great Khan,Yuan dynasty,100.0,Great Khan,Yuan dynasty,0.0
8115,Which tribes did Genghis Khan unite?,"['Mongol and Turkic tribes', 'the Mongol and Turkic tribes']",Yuan_dynasty,warring tribes,{'warring tribes': 'Genghis Khan'},100.0,warring tribes,Genghis Khan,0.0,nomadic,Genghis Khan,100.0,warring tribes,Genghis Khan,100.0
8116,When did Genghis Khan become Great Khan?,['1206'],Yuan_dynasty,1260,{'1260': 'Kublai Khan'},100.0,1206,Genghis Khan,100.0,1206,Ögedei Khan,0.0,1251,Batu Khan,100.0
8117,Who was Genghis's 3rd son?,['Ögedei Khan'],Yuan_dynasty,Ögedei Khan,{'Ögedei Khan': 'Genghis Khan'},100.0,Ögedei Khan,Genghis Khan,100.0,Ögedei Khan,Genghis Khan,100.0,Ögedei Khan,Genghis Khan,0.0
8118,When did Mongke Khan become Great Khan?,['1251'],Yuan_dynasty,1251,{'1251': 'Kublai Khan'},100.0,1251,Möngke Khan,100.0,1251,Möngke Khan,33.33333333333333,1 July 1251,Möngke Khan,66.66666666666667
8119,What was Kublai Khan's relation to Ogedei Khan?,['nephew'],Yuan_dynasty,Great Khan Ögedei,{'Great Khan Ögedei': 'Ariq Böke'},0.0,son of Tolui,House of Ögedei,100.0,son of Tolui,House of Ögedei,100.0,son of Tolui,House of Ögedei,100.0
8120,Who did the Han Chinese want to help the Mongols fight?,"['the Jin', 'Jin']",Yuan_dynasty,,None,100.0,the Jin,Mongol invasion of China,0.0,Western Xia,Mongol conquest of the Jin dynasty,0.0,Yuan,Mongol conquest of Song China,100.0
8121,What Khitan leader defected to the Mongols?,['Xiao Zhala'],Yuan_dynasty,Ming-Tan,{'Ming-Tan': 'Genghis Khan'},100.0,Ming-Tan,Genghis Khan,0.0,Jamukha,Genghis Khan,0.0,Ming'an,Genghis Khan,100.0
8122,What Han Chinese leader defected to the Mongols?,"['Shi Tianze, Liu Heima']",Yuan_dynasty,,None,0.0,Li Ling,Li Ling (disambiguation),100.0,Li Ling,Li Ling (disambiguation),100.0,Li Ling,Li Ling (disambiguation),100.0
8123,How many soldiers were in each Tumen?,"['10,000']",Yuan_dynasty,"10,000","{'10,000': 'Tumen (unit)'}",33.33333333333333,"6,000 to 10,000",Tumen (unit),100.0,"10,000",Tumen (unit),100.0,"6,000 to 10,000",Tumen (unit),66.66666666666667
8124,How many Khitan Tumens were there?,"['3', 'three']",Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,0.0,eight,Khitan people,1.0
8125,What ethnicity was Shi Tianze?,['Han Chinese'],Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,100.0,Chinese,Shì (surname),101.0
8126,In what dynasty did Tianze live?,"['Jin dynasty', 'Jin']",Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8127,What kind of interethnic marriage became common in the Jin dynasty?,"['between Han and Jurchen', 'marriage between Han and Jurchen', 'Han and Jurchen']",Yuan_dynasty,interdynastic,{'interdynastic': 'Royal intermarriage'},-1.0,None,None,-1.0,None,None,0.0,elite marriages,Marriage in ancient Rome,1.0
8128,Who was Shi Tianze's father?,['Shi Bingzhi'],Yuan_dynasty,Liu Bang,"{'Liu Bang': 'Liu Fei, Prince of Qi'}",0.0,Zhouhezhu,Shi Le,100.0,Zhouhezhu,Shi Le,100.0,Zhouhezhu,Shi Le,100.0
8129,What dynasty did Zhang Rhou help attack?,"['Song dynasty', 'the Song dynasty']",Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8130,Who led a Mongol attack on the Song dynasty?,['Möngke Khan'],Yuan_dynasty,Genghis Khan,{'Genghis Khan': 'History of the Song dynasty'},100.0,Genghis Khan,History of the Song dynasty,100.0,Genghis Khan,History of the Song dynasty,100.0,Genghis Khan,History of the Song dynasty,0.0
8131,Where did Mongke Khan attack the Song dynasty?,"['southern China', 'in southern China']",Yuan_dynasty,China,{'China': 'Mongol conquest of the Song dynasty'},100.0,China,First Mongol invasion of Burma,100.0,China,First Mongol invasion of Burma,100.0,China,First Mongol invasion of Burma,0.0
8132,When did Mongke Khan die?,"['1259', 'in 1259']",Yuan_dynasty,6 December 2011,{'6 December 2011': 'Mahn Thet San'},0.0,10 October 2008,Mahn Thet San,0.0,2009,David Carradine,-1.0,None,None,1.0
8133,Who challenged Kublai Khan's right to succeed Mongke Khan?,['Ariq Böke'],Yuan_dynasty,Ariq Böke,{'Ariq Böke': 'Ariq Böke'},100.0,Ariq Böke,Ariq Böke,100.0,Ariq Böke,Ariq Böke,100.0,Ariq Böke,Ariq Böke,0.0
8134,What Chinese era name did Kublai adopt?,"['Zhongtong', 'Zhongtong. Ariq Böke']",Yuan_dynasty,Yuan Dynasty,{'Yuan Dynasty': 'Kublai Khan (disambiguation)'},100.0,Zhongtong,Yuan dynasty,100.0,Yuan Dynasty,Kublai (disambiguation),100.0,Yuan Dynasty,Kublai (disambiguation),0.0
8135,Who was Kaidu's grandfather?,['Ogedei'],Yuan_dynasty,Bomazi,{'Bomazi': 'Bomazi'},0.0,Tuluva Isvara Nayaka,Tuluva Isvara Nayaka,100.0,Bomazi,Bomazi,100.0,Bomazi,Bomazi,100.0
8136,Where did the Song dynasty continue to cause problems for Kublai?,"['south', 'the south', 'the western frontier']",Yuan_dynasty,South China,{'South China': 'History of the Yuan dynasty'},100.0,South China,History of the Yuan dynasty,100.0,South China,History of the Yuan dynasty,50.0,southern China,History of the Yuan dynasty,50.0
8137,Who did Kublai make the ruler of Korea?,"['Wonjong', 'prince Wonjong']",Yuan_dynasty,Wonjong,{'Wonjong': 'Kublai Khan'},100.0,Wonjong,Kublai Khan,0.0,King Gojong,Gojong of Korea,0.0,Omar,Kublai Khan,100.0
8138,Where did Korea border Kublai's territory?,"['northeast', 'the northeast']",Yuan_dynasty,38th parallel,{'38th parallel': 'Korea'},-1.0,None,None,-1.0,None,None,0.0,Gando,Gando Convention,1.0
8139,When did Li Tan lead a revolt?,['1262'],Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8140,What did Kublai's government have to balance between?,['preserving Mongol interests in China and satisfying the demands of his Chinese subjects'],Yuan_dynasty,local and imperial interests,{'local and imperial interests': 'Kublai Khan'},21.37267961433182,Mongolian patrimonial feudalism and the traditional Chinese autocratic-bureaucratic system,Yuan dynasty,42.94155960430205,"local and imperial interests, Mongol and Turk",Kublai Khan,85.71428571428571,"local and imperial interests, Mongol and Turkic",Kublai Khan,64.34160609995389
8141,What administrative division did Kublai leave unmodified?,"['local administrative structure of past Chinese dynasties', 'local administrative structure', 'local']",Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8142,Who would have been the lowest-ranked class?,"['Han Chinese', 'the Han Chinese']",Yuan_dynasty,"slaves (""servi"")","{'slaves (""servi"")': 'Social class in Italy'}",100.0,"slaves (""servi"")",Social class in Italy,100.0,"slaves (""servi"")",Social class in Italy,100.0,"slaves (""servi"")",Social class in Italy,0.0
8143,How many societal class divisions were in the plan Kublai rejected?,"['three, later four', 'four', 'three']",Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8144,What natural resources did the Chinese government have a monopoly on?,['salt and iron'],Yuan_dynasty,petroleum and banking,{'petroleum and banking': 'Chinese economic reform'},100.0,petroleum and banking,Chinese economic reform,100.0,petroleum and banking,Chinese economic reform,100.0,petroleum and banking,Chinese economic reform,0.0
8145,Where had the Mongol capital been before Kublai moved it?,['Karakorum'],Yuan_dynasty,Xanadu,{'Xanadu': 'Khanbaliq'},0.0,Shangdu,Khanbaliq,100.0,Shangdu,Khanbaliq,100.0,Karakorum,Ordu-Baliq,100.0
8146,Where did Kublai move the Mongol capital to?,['Khanbaliq'],Yuan_dynasty,Khwarezmia,{'Khwarezmia': 'Genghis Khan'},100.0,Khanbaliq,Kublai Khan,0.0,Khwarazmia,Genghis Khan,100.0,Khanbaliq,Division of the Mongol Empire,100.0
8147,When did Kublai move the Mongol capital?,['1264'],Yuan_dynasty,1264,{'1264': 'Yuan dynasty'},100.0,1264,Division of the Mongol Empire,100.0,1264,Division of the Mongol Empire,100.0,1264,Division of the Mongol Empire,0.0
8148,What city later became Beijing?,['Zhongdu'],Yuan_dynasty,Beiping,{'Beiping': 'History of Beijing'},100.0,Beiping,History of Beijing,0.0,Peking,Beijing,0.0,Youzhou,History of Beijing,100.0
8149,What rituals did Kublai follow to help his image?,['Confucian propriety and ancestor veneration'],Yuan_dynasty,shadow play,{'shadow play': 'Luan Da'},100.0,shadow play,Luan Da,100.0,shadow play,Luan Da,100.0,shadow play,Luan Da,0.0
8150,What kinds of growth did Kublai encourage?,"['commercial, scientific, and cultural']",Yuan_dynasty,agricultural and commercial,{'agricultural and commercial': 'History of the Yuan dynasty'},100.0,agricultural and commercial,History of the Yuan dynasty,100.0,agricultural and commercial,History of the Yuan dynasty,100.0,agricultural and commercial,History of the Yuan dynasty,0.0
8151,What does 'Pax Mongolica' mean?,['Mongol peace'],Yuan_dynasty,,None,-1.0,None,None,50.0,Mongol Peace,Pax Mongolica,100.0,Mongol Peace,Pax Mongolica,101.0
8152,Where did the Grand Canal start?,['southern China'],Yuan_dynasty,London,{'London': 'Grand Union Canal'},100.0,London,Grand Union Canal,0.0,Black Rock Lock,Erie Canal,100.0,London,Grand Union Canal,100.0
8153,Where did Kublai extend the Grand Canal to?,"['Daidu in the north', 'Daidu']",Yuan_dynasty,Hangzhou,{'Hangzhou': 'Grand Canal (China)'},-1.0,None,None,100.0,Hangzhou,Grand Canal (China),20.0,"Hangzhou (south), and Beijing (north).",Grand Canal (China),101.0
8154,Who described Kublai's China to Europe?,['Marco Polo'],Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8155,Who did Duke Yansheng Kong Duanyou flee with?,"['the Song Emperor', 'Song Emperor', 'the Song Emperor to Quzhou']",Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8156,When did the Jin dynasty begin?,['1115'],Yuan_dynasty,1115,{'1115': 'Jin dynasty (1115–1234)'},100.0,1115,Jin dynasty (1115–1234),100.0,1115,Jin dynasty (1115–1234),100.0,1115,Jin dynasty (1115–1234),0.0
8157,When did the Jin dynasty end?,['1234'],Yuan_dynasty,1234,{'1234': 'Mongol conquest of the Jin dynasty'},100.0,1234,Mongol conquest of the Jin dynasty,100.0,1234,Jin dynasty (1115–1234),100.0,1234,Jin dynasty (1115–1234),0.0
8158,Who was appointed as the replacement for Duke Yansheng Kong Duanyou?,['Kong Duancao'],Yuan_dynasty,Zu Ding,{'Zu Ding': 'Wo Jia'},0.0,Prince Gong,Prince Gong,100.0,Prince Gong,Prince Gong,100.0,Prince Gong,Prince Gong,100.0
8159,How many people in Quzhou are descended from Confucius?,"['30,000']",Yuan_dynasty,,None,100.0,"30,000",Qufu,100.0,"30,000",Quzhou,100.0,"30,000",Qufu,0.0
8160,Where did Kublai build his administration's strength?,['northern China'],Yuan_dynasty,Myanmar,{'Myanmar': 'History of the Yuan dynasty'},100.0,China,Administrative divisions of the Yuan dynasty,0.0,Manchuria,Kublai Khan,0.0,Azerbaijan,Hulagu Khan,100.0
8161,When did Kublai attack Xiangyang?,['between 1268 and 1273'],Yuan_dynasty,1267,{'1267': 'Battle of Xiangyang'},100.0,1267,Battle of Xiangyang,100.0,1267,Battle of Xiangyang,100.0,1267,Battle of Xiangyang,0.0
8162,What area was Kublai trying to capture by attacking Xiangyang?,"['Yangzi River basin', 'the Song dynasty']",Yuan_dynasty,Fencheng,{'Fencheng': 'Battle of Xiangyang'},100.0,Fencheng,Battle of Xiangyang,100.0,Fencheng,Battle of Xiangyang,100.0,Fencheng,Battle of Xiangyang,0.0
8163,What was the Song dynasty's capital?,['Hangzhou'],Yuan_dynasty,Kaifeng,{'Kaifeng': 'History of the Song dynasty'},100.0,Kaifeng,History of the Song dynasty,100.0,Kaifeng,History of the Song dynasty,100.0,Kaifeng,History of the Song dynasty,0.0
8164,How did the final Song emperor die?,['drowned'],Yuan_dynasty,,None,-1.0,None,None,0.0,burial,Puyi,0.0,in his sleep,Death and funeral of Hirohito,1.0
8165,When was Kublai's administration running out of money?,['after 1279'],Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8166,What interfered with Kublai's second invasion of Japan?,"['an inauspicious typhoon', 'inauspicious typhoon']",Yuan_dynasty,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
8167,Where did the Tran dynasty rule?,"['Annam (Dai Viet)', 'Annam']",Yuan_dynasty,Vietnam,{'Vietnam': 'Trần dynasty'},100.0,Vietnam,Trần dynasty,100.0,Vietnam,Trần dynasty,100.0,Vietnam,Trần,0.0
8168,In what battle were the Mongols defeated by the Tran?,"['Battle of Bạch Đằng', 'the Battle of Bạch Đằng']",Yuan_dynasty,,None,0.0,Đông Bộ,Mongol invasions of Vietnam,0.0,Chương Dương,Mongol invasions of Vietnam,66.66666666666666,Battle of Qamdo,Battle of Chamdo,66.66666666666666
