,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
1095,the first vice president of india who become the president letter was,['Sarvepalli Radhakrishnan'],List of Vice-Presidents of India,"K. R. Narayanan, Krishan Kant, Mr. Mohammad Hamid Ansari, Narayanan, Krishan Kant, Vallabhbhai Patel and the left-wing Jawaharlal Nehru - he was elected Congress President for the crucial years around Indian independence in 1947. After Gandhi's assassination in January 1948, Nehru rejected his demand that the party's views should be sought in all decisions. Nehru, with the support of Patel, told Kripalani, Patel, V. P. Singh, Parliament as the joint candidate of the Indian National Congress and United Front, Six out of the eleven","{'K. R. Narayanan': 'K. R. Narayanan', 'Krishan Kant': 'K. R. Narayanan', 'Mr. Mohammad Hamid Ansari': 'Vice-President of India', 'Narayanan': 'K. R. Narayanan', ""Vallabhbhai Patel and the left-wing Jawaharlal Nehru - he was elected Congress President for the crucial years around Indian independence in 1947. After Gandhi's assassination in January 1948, Nehru rejected his demand that the party's views should be sought in all decisions. Nehru, with the support of Patel, told Kripalani"": 'Jivatram Kripalani', 'Patel': 'Jivatram Kripalani', 'V. P. Singh': 'List of firsts in India', 'Parliament as the joint candidate of the Indian National Congress and United Front': 'Krishan Kant', 'Six out of the eleven': 'Vice-President of India'}",100.0,Krishan Kant,Krishan Kant,100.0,Narayanan,K. R. Narayanan,100.0,Narayanan,K. R. Narayanan,0.0
1096,who sang the american anthem at the super bowl,['Pink'],List of national anthem performers at the Super Bowl,"Mariah Carey, Wynonna Judd, Michael McDonald, and Eric Benet, Whitney Houston, Mariah Carey, Tom Sullivan, Houston, Barry Manilow, Yolanda Adams, James Ingram, Wynonna and Patti LaBelle, Spensha Baker, Alice Peacock, Pharrell Williams, Bono of U2 and David Stewart of the Eurythmics.
The song was originally performed live by Bono, The Edge, Beyoncé","{'Mariah Carey': 'Super Bowl XXXVI', 'Wynonna Judd, Michael McDonald, and Eric Benet': 'Heart of America', 'Whitney Houston': 'The Star Spangled Banner (Whitney Houston single)', 'Tom Sullivan': 'Tom Sullivan (singer)', 'Houston': 'The Star Spangled Banner (Whitney Houston single)', 'Barry Manilow, Yolanda Adams, James Ingram, Wynonna and Patti LaBelle': 'Super Bowl XXXVI', 'Spensha Baker': 'Spensha Baker', 'Alice Peacock': 'Alice Peacock', 'Pharrell Williams, Bono of U2 and David Stewart of the Eurythmics.\nThe song was originally performed live by Bono, The Edge, Beyoncé': 'American Prayer (Bono song)'}",100.0,Whitney Houston,The Star Spangled Banner (Whitney Houston song),100.0,Whitney Houston,The Star-Spangled Banner (Whitney Houston recording),100.0,Whitney Houston,List of national anthem performers at the Super Bowl,0.0
1097,where does summer of the monkeys take place,"['Oklahoma', 'Missouri']",Summer of the Monkeys,"rural Canada, Monkey World, around the 1800s, Tahlequah, Žarkovo) in Belgrade, Borneo, Isle of Mauritius, Escondido, Monkey World is a 65-acre (0.26 km²) ape and monkey sanctuary and zoo near Wool, Dorset, England, Spain","{'rural Canada': 'Summer of the Monkeys', 'Monkey World': 'Monkey World', 'around the 1800s': 'Summer of the Monkeys', 'Tahlequah': 'Summer of the Monkeys', 'Žarkovo) in Belgrade': 'Tropical Heat', 'Borneo': 'Rainforest (novel)', 'Isle of Mauritius': 'Tropical Heat', 'Escondido': 'San Diego Wild Animal Park', 'Monkey World is a 65-acre (0.26 km²) ape and monkey sanctuary and zoo near Wool, Dorset, England': 'Monkey World', 'Spain': 'Monkey World'}",100.0,Spain,The Wine of Summer,33.33333333333333,the monkeys' grove,Summer of the Monkeys,100.0,Spain,The Wine of Summer,66.66666666666667
1098,who plays the characters in yo gabba gabba,"['DJ Lance Rock -- ( Portrayed by Lance Robertson U.S. , voice dubbed by Ortis Deley in the UK )', 'DJ Lance Rock']",Yo Gabba Gabba!,"Andrea Howard and Bruce Kirby, Frank Welker, Music, Gerald David Music, Adam Deibert, Richard B. Shull, Daniel Sylvester Battagline, Rip Taylor, Modern voice actors, Cindy Bear","{'Andrea Howard and Bruce Kirby': 'Holmes &amp; Yo-Yo', 'Frank Welker': 'Lorenzo Music', 'Music': 'Lorenzo Music', 'Gerald David Music': 'Lorenzo Music', 'Adam Deibert': 'Yo Gabba Gabba!', 'Richard B. Shull': 'Holmes &amp; Yo-Yo', 'Daniel Sylvester Battagline': 'Sylvester the Jester', 'Rip Taylor': 'Rip Taylor', 'Modern voice actors': 'Yo Yogi!', 'Cindy Bear': 'Yo Yogi!'}",20.0,Jason Mewes and Kevin Smith,Jay and Silent Bob,14.285714285714285,"Laila Ali, Bill Hader, and Anthony Bourdain",Yo Gabba Gabba!,28.57142857142857,"Keith Allen and Daniel Peacock, with Allen",The Yob,14.285714285714285
1099,where does the president get authority to issue executive orders,"['rooted in Article II of the US Constitution or enacted by the congress in statutes', 'Constitution']",Executive order (United States),"Within the executive branch itself, the president has broad powers to manage national affairs and the workings of the federal government. The president can issue rules, regulations, and instructions called executive orders, which have the binding force of law upon federal agencies but do not require congressional approval, under the Constitution, Article II, of the Constitution, pursuant to a grant of discretion from Congress, or under the inherent powers that office holds to deal with certain matters of foreign policy, Article II, section 2, Article II, section 2, to ""require the Opinion, in writing, of the principal Officer in each of the executive Departments, one of two custom-built Boeing 747 aircraft, known as ""Air Force One""., while the Senate is in recess, head of a political party and as principal executive officer of the United States government, The president has the power to nominate federal judges","{'Within the executive branch itself, the president has broad powers to manage national affairs and the workings of the federal government. The president can issue rules, regulations, and instructions called executive orders, which have the binding force of law upon federal agencies but do not require congressional approval': 'Powers of the President of the United States', 'under the Constitution': 'President of the United States', 'Article II, of the Constitution': 'Executive order (United States)', 'pursuant to a grant of discretion from Congress, or under the inherent powers that office holds to deal with certain matters of foreign policy': 'List of United States federal executive orders', 'Article II, section 2': 'United States federal executive departments', 'Article II, section 2, to ""require the Opinion, in writing, of the principal Officer in each of the executive Departments': 'United States federal executive departments', 'one of two custom-built Boeing 747 aircraft, known as ""Air Force One"".': 'President of the United States', 'while the Senate is in recess': 'President of the United States', 'head of a political party and as principal executive officer of the United States government': 'Powers of the President of the United States', 'The president has the power to nominate federal judges': 'Powers of the President of the United States'}",100.0,"pursuant to a grant of discretion from Congress, or under the inherent powers that office holds to deal with certain matters of foreign policy",List of United States federal executive orders,100.0,"pursuant to a grant of discretion from Congress, or under the inherent powers that office holds to deal with certain matters of foreign policy",List of United States federal executive orders,100.0,"pursuant to a grant of discretion from Congress, or under the inherent powers that office holds to deal with certain matters which have the force of law",List of United States federal executive orders,0.0
1100,who did the whistling in the muppet movie,"['Andrew Bird', 'musician Andrew Bird']",Walter (Muppet),"Kermit the Frog and Rowlf the Dog, Kermit the Frog, Anthony Daniels, Butler, Jimmie Riddle, Foghorn Leghorn, Link Hogthrob, Leo Watson, Paul Tripp, Alessandro Alessandroni","{'Kermit the Frog and Rowlf the Dog': ""I Hope That Somethin' Better Comes Along!"", 'Kermit the Frog': 'Kenneth Ascher', 'Anthony Daniels': 'Mel Blanc', 'Butler': 'Mel Blanc', 'Jimmie Riddle': 'Jimmie Riddle', 'Foghorn Leghorn': 'Mel Blanc', 'Link Hogthrob': 'Link Hogthrob', 'Leo Watson': 'Leo Watson', 'Paul Tripp': 'Paul Tripp', 'Alessandro Alessandroni': ""John O'Neill (musician)""}",100.0,Kermit the Frog and Rowlf the Dog,I Hope That Somethin' Better Comes Along,100.0,Kermit the Frog and Rowlf the Dog,I Hope That Somethin' Better Comes Along,0.0,Tummi Gummi,Lorenzo Music,100.0
1101,what is the membrane on the surface of the stomach called,"['serous membrane ( or serosa )', 'the visceral membrane', 'Serous Membrane']",Serous membrane,"gastric mucosa, Glands, columnar epithelium, pyloric canal, fundus, dorsal mesentery, fundus, a single layer of column, mucosa, Glands","{'gastric mucosa': 'Gastric mucosa', 'Glands': 'Stomach', 'columnar epithelium': 'Gastric mucosa', 'pyloric canal': 'Pyloric canal', 'fundus': 'Body of stomach', 'dorsal mesentery': 'Dorsal mesentery', 'a single layer of column': 'Gastric mucosa', 'mucosa': 'Lamina propria'}",100.0,gastric mucosa,Gastric mucosa,100.0,gastric mucosa,Gastric mucosa,100.0,columnar epithelium,Gastric mucosa,0.0
1102,what episode of pll does jenna get her sight back,"['If These Dolls Could Talk', 'Blood is the New Black']",Jenna Marshall,"Breathless, Great Expectations, Girls Interrupted, Lexicon Of Love, Season Three, finale, Lifeguard Confidential, Season 7, Shannon's Hope, season 5","{'Breathless': 'Breathless (CSI episode)', 'Great Expectations': 'Rachel Boston', 'Girls Interrupted': 'Girls Interrupted', 'Lexicon Of Love': 'Ms. Hatzilakos', 'Season Three': 'Jen Lindley', 'finale': 'Jen Lindley', 'Lifeguard Confidential': 'Caroline Holden', 'Season 7': 'Caroline Holden', ""Shannon's Hope"": 'Caroline Holden', 'season 5': 'Ms. Hatzilakos'}",66.66666666666666,third season finale,Pretty Little Liars (season 4),100.0,third season finale,Pretty Little Liars (season 4),0.0,Christmas special,Pretty Little Liars (season 7),100.0
1103,who sang the song tell me something good,['Rufus and Chaka Khan'],Tell Me Something Good,"Kenny Chesney, Tim McGraw, Gerry Goffin and Carole King, Nina Simone, Eddie Brigati, Chaka Khan, Dennis Wilson and Daryl Dragon, will.i.am, and Keith Harris. However, the chorus samples several lines from ""Feeling Good"" as performed by Nina Simone, Vonda Shepard, Partridge Family","{'Kenny Chesney': 'The Good Stuff', 'Tim McGraw': 'Real Good Man', 'Gerry Goffin and Carole King': ""I'm into Something Good"", 'Nina Simone': 'Feeling Good', 'Eddie Brigati': 'How Can I Be Sure', 'Chaka Khan': 'All Good?', 'Dennis Wilson and Daryl Dragon': 'Make It Good', 'will.i.am, and Keith Harris. However, the chorus samples several lines from ""Feeling Good"" as performed by Nina Simone': 'Feeling Good', 'Vonda Shepard': 'Tell Him (Bert Berns song)', 'Partridge Family': ""I'm into Something Good""}",100.0,Gerry Goffin and Carole King,I'm into Something Good,100.0,Chaka Khan,All Good?,83.33333333333334,Gerry Goffin (lyrics) and Carole King,I'm into Something Good,16.666666666666657
1104,who is the director of taarak mehta ka ooltah chashmah,['Harshad Joshi'],Taarak Mehta Ka Ooltah Chashmah,"Basu Chatterjee, Nagesh Kukunoor, Govind Nihalani, Budhhadeb Dasgupta, Mahesh Manjrekar, Subhash Ghai, Kiomars Pourahmad, Chetan Anand, Farhan Akhtar, Amrish Puri","{'Basu Chatterjee': 'Khatta Meetha', 'Nagesh Kukunoor': 'Tasveer', 'Govind Nihalani': 'Tamas (film)', 'Budhhadeb Dasgupta': 'Tahader Katha', 'Mahesh Manjrekar': 'Vaah! Life Ho Toh Aisi!', 'Subhash Ghai': 'Taal (film)', 'Kiomars Pourahmad': 'Kiomars Pourahmad', 'Chetan Anand': 'Haqeeqat', 'Farhan Akhtar': 'Farhan Akhtar', 'Amrish Puri': 'Taal (film)'}",0.0,Ram Madhwani,Taalismaan,100.0,Ram Madhwani,Taalismaan,100.0,Subhash Ghai,Taal (film),100.0
1105,this type of nuclear decay effectively turns a proton into a neutron,"['beta decay', 'beta decay ( β - decay )']",Beta decay,"β+, β+ decay, beta decay, Double beta decay, β+ decay, Double electron capture, beta decay, double beta decay, Isomeric transition, electron capture","{'β+': 'Beta decay', 'β+ decay': 'Beta decay', 'beta decay': 'Proton decay', 'Double beta decay': 'Double beta decay', 'Double electron capture': 'Double electron capture', 'double beta decay': 'Double beta decay', 'Isomeric transition': 'Isomeric transition', 'electron capture': 'Electron capture'}",100.0,electron capture,Electron capture,100.0,beta decay,Beta decay,100.0,double beta decay,Double beta decay,0.0
1106,when did to kill a mockingbird become popular,['1960'],To Kill a Mockingbird,"1960, Upon its release, it became instantly successful, 1960, when published, 1990, through its inclusion in the Book of the Month Club, ""To Kill a Mockingbird"" was an immediate bestseller, 1974, 1951, 1952","{'1960': 'Harper Lee', 'Upon its release, it became instantly successful': 'To Kill a Mockingbird', 'when published': 'To Kill a Mockingbird', '1990': 'Paris (rapper)', 'through its inclusion in the Book of the Month Club': 'To Kill a Mockingbird', '""To Kill a Mockingbird"" was an immediate bestseller': 'Harper Lee', '1974': 'Mockingbird (1963 song)', '1951': ""Mockin' Bird Hill"", '1952': 'The Mocking Bird'}",100.0,1960,To Kill a Mockingbird in popular culture,100.0,1960,Harper Lee,100.0,1960,To Kill a Mockingbird in popular culture,0.0
1107,the region that stretches between the black and caspian seas,"['The Caucasus Mountains', 'Caucasus Mountains']",Caucasus Mountains,"700km, The Sea of Azov, The Caspian Sea is a remnant of the Tethys Sea, Anatolia, Eurasia Canal, Rim Current, The Black Sea is an inland sea between southeastern Europe and the Anatolian peninsula, Great Arctic State Nature Reserve, East Siberian Sea, East Siberian Sea","{'700km': 'Caspian Sea', 'The Sea of Azov': 'Sea of Azov', 'The Caspian Sea is a remnant of the Tethys Sea': 'Caspian Sea', 'Anatolia': 'Black Sea', 'Eurasia Canal': 'Caspian Sea', 'Rim Current': 'Black Sea', 'The Black Sea is an inland sea between southeastern Europe and the Anatolian peninsula': 'Black Sea', 'Great Arctic State Nature Reserve': 'Kara Sea', 'East Siberian Sea': 'East Siberian Sea'}",100.0,The Sea of Azov,Sea of Azov,100.0,Anatolia,Black Sea,100.0,The Sea of Azov,Sea of Azov,0.0
1108,when does the next season of wynonna earp start,"['January 15 , 2018', '2018']",Wynonna Earp (TV series),"January 1, 2020, January 8, 2008, January 8 2008, 2001, January 21, 2008, Sean Hannity, 2008/09, 2007, fifth season, February 2008","{'January 1, 2020': '2020s', 'January 8, 2008': 'One Tree Hill (season 5)', 'January 8 2008': 'One Tree Hill (season 5)', '2001': ""National Women's Football Association"", 'January 21, 2008': 'Wildfire (TV series)', 'Sean Hannity': 'WNOX', '2008/09': ""Women's National Basketball League"", '2007': 'Tiffany Evans', 'fifth season': 'One Tree Hill (season 5)', 'February 2008': 'List of Nip/Tuck episodes'}",0.0,"September 24, 2014",Nashville (2012 TV series),33.33333333333333,"February 23, 2015",The Voice (U.S. season 8),33.33333333333333,"April 1, 2016",Wynonna Earp (TV series),33.33333333333333
1109,who said some are born great in twelfth night,['Malvolio'],Malvolio,"Christopher, Fifth Monarchists, William Shakespeare, Shakespeare, Maria, Shakespeare, Polonius, Godwin's views on the ""perfectibility of society"" plays a predominant role as a target. (Malthus had previously been a member of the same radical circles as Godwin, and pitched his attack on British radicalism as that of a disillusioned disciple.) Unlike Godwin, Mercutio, Toby Belch","{'Christopher': 'John Milton', 'Fifth Monarchists': 'John Milton', 'William Shakespeare': 'Toby Belch', 'Shakespeare': 'Polonius', 'Maria': 'Malvolio', 'Polonius': 'Polonius', 'Godwin\'s views on the ""perfectibility of society"" plays a predominant role as a target. (Malthus had previously been a member of the same radical circles as Godwin, and pitched his attack on British radicalism as that of a disillusioned disciple.) Unlike Godwin': 'William Godwin', 'Mercutio': 'Great Mother', 'Toby Belch': 'Malvolio'}",100.0,Godwin,William Godwin,100.0,Godwin,William Godwin,100.0,William Shakespeare,Malvolio,0.0
1110,who holds the world record for the most world records,"['Ashrita Furman ( born Keith Furman', 'Ashrita Furman']",Ashrita Furman,"Florence Griffith-Joyner, Ashrita Furman, Haile Gebrselassie, Shigechiyo Izumi, Carl Lewis, Ramona Trinidad Iglesias-Jordan, Ashrita, Betsy Baker, Shigechiyo Izumi of Japan for 4367 days from March 9, 1974 to February 21, 1986. The shortest consecutive time was by Henri Pérignon of France for 8 days from June 10, 1990 to June 18, 1990. The country with the most people on the list is the United States, golden plover","{'Florence Griffith-Joyner': 'World record progression 100 metres women', 'Ashrita Furman': 'Ashrita Furman', 'Haile Gebrselassie': 'Hour run', 'Shigechiyo Izumi': 'Oldest people', 'Carl Lewis': 'World record progression 100 metres men', 'Ramona Trinidad Iglesias-Jordan': 'Mitoyo Kawate', 'Ashrita': 'Ashrita Furman', 'Betsy Baker': 'Oldest people', 'Shigechiyo Izumi of Japan for 4367 days from March 9, 1974 to February 21, 1986. The shortest consecutive time was by Henri Pérignon of France for 8 days from June 10, 1990 to June 18, 1990. The country with the most people on the list is the United States': 'Oldest people', 'golden plover': 'Guinness World Records'}",100.0,Ashrita Furman,Ashrita Furman,100.0,Ashrita Furman,Ashrita Furman,100.0,Ashrita Furman,Ashrita Furman,0.0
1111,what type of government did the ming dynasty have,['imperial rule'],Economy of the Ming dynasty,"emperor, dual administration, dual administration, Imperial Qing Dynasty, provinces that were almost exactly the same as those in modern China proper, military generals, central government, bureaucratized, Local government, Central government","{'emperor': 'Ming Dynasty', 'dual administration': 'History of the Ming Dynasty', 'Imperial Qing Dynasty': 'History of the Ming Dynasty', 'provinces that were almost exactly the same as those in modern China proper': 'History of the political divisions of China', 'military generals': 'History of the political divisions of China', 'central government': 'History of the Ming Dynasty', 'bureaucratized': 'Social structure of China', 'Local government': 'Joseon Dynasty politics', 'Central government': 'Government of the Han Dynasty'}",100.0,central,Ming dynasty,100.0,dual,History of the Ming dynasty,100.0,central,Ming dynasty,0.0
1112,who was the first imperial power that was fighting in vietnam,['France'],History of Vietnam,"Bao Dai, Emperor Lê Hoàn, Hồ Chí Minh, France, French, U.S., Emperor Bảo Đại, Japan, People's Republic of China, Emperor Guangwu of Han","{'Bao Dai': 'Background to the Vietnam War', 'Emperor Lê Hoàn': 'History of Vietnam', 'Hồ Chí Minh': 'First Indochina War', 'France': 'Indochina Wars', 'French': 'Background to the Vietnam War', 'U.S.': 'Vietnam War', 'Emperor Bảo Đại': 'Vietnam in the time of the Second World War', 'Japan': 'Vietnam in the time of the Second World War', ""People's Republic of China"": 'Sino-Vietnamese War', 'Emperor Guangwu of Han': 'History of Vietnam'}",100.0,Japan,Military history of Vietnam,100.0,China,Vietnam,100.0,Japan,Military history of Vietnam,0.0
1113,fictional character whose favorite song was blueberry hill,['Richie Cunningham'],Blueberry Hill (song),"Richie Cunningham, Rocky Mountain Wonderboy, Denver, Deutschendorf, Polly Perkins, Johnny Mathis, Johnny, Johnny Mathis, Joseph Allan McCarthy, Hobo's Lullaby is a song written by Goebel Reeves, and famously performed by various people including folk singer Woody Guthrie","{'Richie Cunningham': 'Blueberry Hill (song)', 'Rocky Mountain Wonderboy': 'John Denver', 'Denver': 'John Denver', 'Deutschendorf': 'John Denver', 'Polly Perkins': 'Pretty Polly Perkins of Paddington Green', 'Johnny Mathis': 'Johnny Mathis', 'Johnny': 'Johnny Mathis', 'Joseph Allan McCarthy': 'Jack Segal', ""Hobo's Lullaby is a song written by Goebel Reeves, and famously performed by various people including folk singer Woody Guthrie"": ""Hobo's Lullaby""}",100.0,Polly Perkins,Pretty Polly Perkins of Paddington Green,5.000000000000001,"Little is known of Thompson other than his works, mainly syrupy ballads used in blackface minstrel shows; 48 works were published under the name H. S. Thompson between 1849 and 1885.
According to U.S. Census research by Ralph Richey, Thompson was probably born in 1824 or 1825 in northern Essex County, Massachusetts. By 1851 he had moved to Newburyport, Massachusetts where he was a teacher, performer, and impresario. Later he was connected with several minstrel companies, including Morris Brothers, Pell, Huntley's, and Trowbridge's Minstrels in Boston and Morris and Wilson's Opera Troupe in St. Louis (1865–66).
Works.
Thompson's ""Down by the River Liv'd a Maiden,"" published in 1863, is generally believed to be the basis for Percy Montrose's 1884 ""Oh My Darling, Clementine",H. S. Thompson,0.0,Fats Domino,Blueberry Hill (song),100.0
1114,who wrote the song what child is this,"['William Chatterton Dix', 'lyrics were written by William Chatterton Dix']",What Child Is This?,"Dave Cousins, Fred Jay, Pete Townshend, Janis Ian, S. Lee and D. Taylor, William Chatterton Dix, Susan Aglukark, Billie Holiday and Arthur Herzog Jr., Hewlett's Daughter, Eric Flint","{'Dave Cousins': ""Hey Little Man ... Wednesday's Child"", 'Fred Jay': 'When a Child Is Born', 'Pete Townshend': ""It's a Boy"", 'Janis Ian': ""Society's Child"", 'S. Lee and D. Taylor': ""Friday's Child (song)"", 'William Chatterton Dix': 'What Child Is This?', 'Susan Aglukark': 'This Child', 'Billie Holiday and Arthur Herzog Jr.': 'God Bless the Child (Billie Holiday song)', ""Hewlett's Daughter"": ""Hewlett's Daughter"", 'Eric Flint': 'Janis Ian'}",100.0,Susan Aglukark,This Child,100.0,William Chatterton Dix,What Child Is This?,100.0,William Chatterton Dix,What Child Is This?,0.0
1115,who sang my bucket got a hole in it,['Hank Williams'],My Bucket's Got a Hole in It,"Harry Belafonte and Odetta, Eminem, De La Soul, Milli Vanilli, Layng Martine Jr, Harry Belafonte, Malvina Reynolds, Barbra Streisand, Rosemary Clooney, Bascom Lamar Lunsford","{'Harry Belafonte and Odetta': ""There's a Hole in My Bucket"", 'Eminem': ""Cleanin' Out My Closet"", 'De La Soul': 'Potholes in My Lawn', 'Milli Vanilli': 'The Plumbing Song', 'Layng Martine Jr': 'Rub It In', 'Harry Belafonte': 'Malvina Reynolds', 'Malvina Reynolds': 'Malvina Reynolds', 'Barbra Streisand': 'Splish Splash (song)', 'Rosemary Clooney': 'Botch-a-Me (Ba-Ba-Baciami Piccina)', 'Bascom Lamar Lunsford': 'I Wish I Was a Mole In the Ground'}",0.0,Hank Williams,My Bucket's Got a Hole in It,50.0,Clarence Williams,My Bucket's Got a Hole in It,100.0,Clarence Williams,My Bucket's Got a Hole in It,100.0
1116,what is the name of the restaurant in seinfeld,"[""Monk 's"", ""Monk 's Café""]",Monk's Café,"The Chinese Restaurant, Monks Coffee Shop, Soup Kitchen International, Katz's Delicatessen, Lindy's, Katz's, Katz's, Monk's Café, Auerbach's Cellar, The Second Avenue Deli","{'The Chinese Restaurant': 'Seinfeld', 'Monks Coffee Shop': 'Seinfeld', 'Soup Kitchen International': 'Seinfeld', ""Katz's Delicatessen"": ""Katz's Delicatessen"", ""Lindy's"": ""Lindy's"", ""Katz's"": ""Katz's Delicatessen"", ""Monk's Café"": ""Monk's Cafe"", ""Auerbach's Cellar"": 'Auerbachs Keller', 'The Second Avenue Deli': 'Second Avenue Deli'}",50.0,Katz’s Delicatessen,Katz's Delicatessen,100.0,Katz’s Delicatessen,Katz's Delicatessen,0.0,Sushi Seki,Sushi Seki,100.0
1117,what is the minimum number of parties required to enter into a deed,['two parties'],Real estate contract,"more than one person, Three, Only a single Contract B is formed between the Owner and the successful bidder, five, one or both of the witnesses, six, affidavits from the attesting witnesses, three or five or more, 1. A beginning date and a termination date, stipulated sum","{'more than one person': 'Deed', 'Three': 'Incorporation by reference', 'Only a single Contract B is formed between the Owner and the successful bidder': 'Contract B', 'five': 'Deed', 'one or both of the witnesses': 'Attestation clause', 'six': 'Warranty deed', 'affidavits from the attesting witnesses': 'Attestation clause', 'three or five or more': 'Articles of Incorporation', '1. A beginning date and a termination date': 'Listing contract', 'stipulated sum': 'Bond for deed'}",75.0,one or more persons,Will and testament,100.0,affidavits from the attesting witnesses,Attestation clause,100.0,affidavits from the attesting witnesses,Attestation clause,25.0
1118,who has the most big ten championships in football,['Michigan'],List of Big Ten Conference football champions,"Michigan State, three, Western Conference, Indiana Hoosiers, Chicago, Penn State, Kirk Ferentz, Michigan State, Northwestern, Indiana and Purdue","{'Michigan State': 'Big Ten Conference', 'three': 'Iowa Hawkeyes football', 'Western Conference': 'Iowa Hawkeyes football', 'Indiana Hoosiers': 'Indiana Hoosiers football', 'Chicago': 'Big Ten Conference football champions', 'Penn State': 'List of Big Ten National Championships', 'Kirk Ferentz': 'Iowa Hawkeyes football', 'Northwestern': 'Northwestern Wildcats football', 'Indiana and Purdue': 'Big Ten Conference'}",75.0,Ohio State and Michigan,Michigan–Ohio State football rivalry,100.0,Ohio State,List of Big Ten Conference football champions,100.0,Ohio State,List of Big Ten Conference football champions,25.0
1119,where does the lincoln highway begin and end,"['Times Square in New York City', 'from Times Square in New York City west to Lincoln Park in San Francisco']",Lincoln Highway,"Portland, Gettysburg, Pennsylvania, Bracebridge Heath, Morton Grove, Illinois, Long Beach end, Hyde Street Pier, Matamoras, Interstate 5, Bennington Road, St. Paul's Cathedral","{'Portland': 'Lincoln Highway', 'Gettysburg, Pennsylvania': 'Lincoln Highway', 'Bracebridge Heath': 'A607 road', 'Morton Grove, Illinois': 'Lincoln Avenue (Chicago)', 'Long Beach end': 'U.S. Route 6', 'Hyde Street Pier': 'U.S. Route 101', 'Matamoras': 'U.S. Route 6', 'Interstate 5': 'U.S. Route 101', 'Bennington Road': 'Military Road (Omaha)', ""St. Paul's Cathedral"": 'A1 road'}",100.0,Portland,Lincoln Highway,100.0,Portland,Lincoln Highway,100.0,Portland,Lincoln Highway,0.0
1120,who is known as the father of indian constitution,['Bhimrao Ramji Ambedkar'],B. R. Ambedkar,"Mahadev Sahai, Sir Hari Singh Gour, Radhakamal Mukerjee, Dr. Ambedkar, Ramkant, Mohandas Karamchand Gandhi, Bapu, Raja Ram Mohan Roy, Ram Mohan Roy, Somnath Chatterjee","{'Mahadev Sahai': 'Rajendra Prasad', 'Sir Hari Singh Gour': 'Hari Singh Gour', 'Radhakamal Mukerjee': 'Radhakamal Mukerjee', 'Dr. Ambedkar': 'B. R. Ambedkar', 'Ramkant': 'Ram Mohan Roy', 'Mohandas Karamchand Gandhi': 'Mohandas Karamchand Gandhi', 'Bapu': 'Mohandas Karamchand Gandhi', 'Raja Ram Mohan Roy': 'Ram Mohan Roy', 'Ram Mohan Roy': 'Ram Mohan Roy', 'Somnath Chatterjee': 'Nirmal Chandra Chatterjee'}",50.0,Dr.Babasaheb Ambedkar,B. R. Ambedkar,100.0,Bapu,Mahatma Gandhi,100.0,Bapu,Mahatma Gandhi,50.0
1121,who had created the second bank of the united states,"['James Madison', 'President James Madison']",Second Bank of the United States,"James Madison and Albert Gallatin, William Strickland, Alexander Hamilton, Andrew Jackson, congressmen, Myron T. Herrick, Aldrich, James Monroe, Hamilton, Alexander Hamilton","{'James Madison and Albert Gallatin': 'Second Bank of the United States', 'William Strickland': 'Second Bank of the United States', 'Alexander Hamilton': 'History of central banking in the United States', 'Andrew Jackson': 'Bank War', 'congressmen': 'Banking in the Jacksonian Era', 'Myron T. Herrick': 'History of central banking in the United States', 'Aldrich': 'History of central banking in the United States', 'James Monroe': 'Second Bank of the United States', 'Hamilton': 'Second Report on Public Credit'}",100.0,William Strickland,Second Bank of the United States,100.0,William Strickland,Second Bank of the United States,100.0,William Strickland,Second Bank of the United States,0.0
1122,what type of tale is the pardoner's tale,"['a moral tale', 'an extended exemplum']",The Pardoner's Tale,"morally intact, folk-tale, General Prologue, The Merchant's Tale, carnal lust and frivolous bed-hopping, polemic, satire, A Tale of a Tub, humorous, The legend","{'morally intact': ""The Pardoner's Prologue and Tale"", 'folk-tale': ""The Pardoner's Prologue and Tale"", 'General Prologue': ""The Pardoner's Prologue and Tale"", ""The Merchant's Tale"": ""The Merchant's Prologue and Tale"", 'carnal lust and frivolous bed-hopping': ""The Merchant's Prologue and Tale"", 'polemic': 'A Tale of a Tub', 'satire': 'A Tale of a Tub', 'A Tale of a Tub': 'A Tale of a Tub', 'humorous': 'Uncle Remus', 'The legend': 'Jamie Macpherson'}",100.0,morally intact,The Pardoner's Tale,100.0,morally intact,The Pardoner's Tale,100.0,morally intact,The Pardoner's Tale,0.0
